,Title,Story,Clusters,Actual Clusters,Right(0)/Wrong(1)
241,bitcoin credibl balanc woe spread,d85PwV5UxEUaHMM0to00pLgkAXkbM,15,17,0
242,australian bitcoin trader burnt mt gox crash,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
243,hacker call mt gox ceo liar say still control stolen bitcoin,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
244,mt gox face attack per second report,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
245,mt gox file chapter u,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
246,bitcoin exchang mt gox hit ddo attack per second,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
247,hacker allegedli hit mt gox ceo blog post balanc remain bitcoin,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
248,hacker hit web account mtgox boss,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
249,hacker reveal mt gox face behind mask,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
250,mt gox ceo blog goe blank alleg hack,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
251,bankrupt exchang mt gox still million bitcoin hacker claim,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
252,hacker alleg mt gox ceo still control stolen bitcoin,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
253,hacker claim mt gox still sit bitcoin,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
254,cryptocurr news round mt gox lie bitcoin gun store dogecoin,d85PwV5UxEUaHMM0to00pLgkAXkbM,21,17,0
255,hacker claim mtgox still access miss bitcoin,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
256,mt gox face ddo attack per second ahead crash report,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
257,mt gox ceo blog hack databas leak claim k bitcoin,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
258,hacker break mt gox ceo blog reveal custom bitcoin balanc,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
259,bitcoin exchang mtgox face attack per second,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
260,bitcoin exchang face mountain hacker attack,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
261,mt gox ceo blog hack,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
262,op ed onlin exchang lehman term ebay rescu,d85PwV5UxEUaHMM0to00pLgkAXkbM,12,17,0
263,investor warn bet digit currenc,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
264,bitcoin oversight volatil uncertainti,d85PwV5UxEUaHMM0to00pLgkAXkbM,15,17,0
265,investor warn invest digit currenc,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
266,q bitcoin,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
267,mt gox hacker post bitcoin balanc ceo blog,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
268,mt gox field massiv ddo attack collaps,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
269,mt gox hack allegedli reveal bitcoin balanc custom account total,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
270,report mt gox hit k time per second ddo attack theft,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
271,mt gox collaps shatter bitcoin myth virtual money,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
272,hacker attack bankrupt bitcoin exchang,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
273,hacker claim publish evid fraud bitcoin exchang mt gox,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
274,massiv hack attack reveal,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
275,mt gox ceo blog hack alleg bitcoin balanc post,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
276,mt gox face attack per second,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
277,anonym hacker uncov alleg proof mtgox fraud site ceo,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
278,bitcoin enthusiasm weather chaotic week,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
279,bitcoin exchang mtgox face hack attack everi second,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
280,mtgox face attack second,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
281,hacker hit mt gox exchang ceo claim publish evid fraud,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
282,bitcoin enthusiast weather chaotic week,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
283,state destroy bitcoin,d85PwV5UxEUaHMM0to00pLgkAXkbM,10,17,0
284,bitcoin mt gox,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
285,currenc take bit bit northeast,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
286,mt gox hit massiv ddo attack,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
287,insid mt gox,d85PwV5UxEUaHMM0to00pLgkAXkbM,21,17,0
288,bitcoin exchang face hacker onslaught,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
289,mtgox face k ddo attack per second say report,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
290,bitcoin exchang mtgox face attack per second report,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
291,mtgox face attack per second say report,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
292,bitcoin refus flip,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
293,bitcoin legal illeg currenc commod,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
294,color money bitcoin trendi riski investor,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
295,uk first bitcoin machin open east london cafe,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
296,japan struggl understand bitcoin mt gox collaps,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
297,bitcoin govern peopl,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
298,uk first bitcoin machin open london tech hub,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
299,bitcoin cash machin appear london tech citi,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
300,bitcoin bank deposit secur,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
301,post parvez jabri,d85PwV5UxEUaHMM0to00pLgkAXkbM,18,17,0
302,forget mt gox bitcoin still futur currenc,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
303,uk first bitcoin machin open london cafe,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
304,japan say bitcoin currenc amid call regul,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
305,bank bitcoin,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
306,japan say bitcoin currenc taxabl,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
307,bitcoin use southwest florida busi,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
308,week mt gox collaps japan struggl understand bitcoin,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
309,bitcoin charg florida man may proceed judg rule,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
310,imagin futur bitcoin,d85PwV5UxEUaHMM0to00pLgkAXkbM,13,17,0
311,land rise bitcoin japan realiz center,d85PwV5UxEUaHMM0to00pLgkAXkbM,13,17,0
312,bitcoin backer enjoy rise stake amid attack hacker,d85PwV5UxEUaHMM0to00pLgkAXkbM,13,17,0
313,digit currenc stay whether bitcoin someth els oliv,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
314,major bank look bitcoin,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
315,japanes govern come hard digit currenc bitcoin,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
316,week mt gox collaps japan struggl understand,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
317,uk first bitcoin digit cash machin goe live east london cafe,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
318,uk first bitcoin cash machin launch shoreditch,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
319,japan bitcoin money may tax,d85PwV5UxEUaHMM0to00pLgkAXkbM,17,17,1
320,mta worker kill hudson line train,dEMAAHOiiULKoTMlQ5PeakjabUaYM,2,2,1
321,death metro north worker track renew safeti concern,dEMAAHOiiULKoTMlQ5PeakjabUaYM,2,2,1
322,metro north worker kill train,dEMAAHOiiULKoTMlQ5PeakjabUaYM,2,2,1
323,metro north worker yonker kill struck train,dEMAAHOiiULKoTMlQ5PeakjabUaYM,2,2,1
324,metro north worker kill hudson line train head poughkeepsi,dEMAAHOiiULKoTMlQ5PeakjabUaYM,2,2,1
325,ntsb death metro north worker investig,dEMAAHOiiULKoTMlQ5PeakjabUaYM,2,2,1
326,metro north employe kill train harlem identifi,dEMAAHOiiULKoTMlQ5PeakjabUaYM,2,2,1
327,metro north worker struck kill train,dEMAAHOiiULKoTMlQ5PeakjabUaYM,2,2,1
328,metro north work kill harlem,dEMAAHOiiULKoTMlQ5PeakjabUaYM,2,2,1
329,metro north worker kill struck harlem line train,dEMAAHOiiULKoTMlQ5PeakjabUaYM,2,2,1
330,metro north track worker kill harlem,dEMAAHOiiULKoTMlQ5PeakjabUaYM,2,2,1
331,poughkeepsi bound metro north train strike kill railroad employe track,dEMAAHOiiULKoTMlQ5PeakjabUaYM,2,2,1
332,metro north railroad worker kill train manhattan,dEMAAHOiiULKoTMlQ5PeakjabUaYM,2,2,1
333,metro north worker struck kill train bound poughkeepsi,dEMAAHOiiULKoTMlQ5PeakjabUaYM,2,2,1
334,metro north worker struck kill east harlem train,dEMAAHOiiULKoTMlQ5PeakjabUaYM,2,2,1
335,metro north worker die hit train work track east,dEMAAHOiiULKoTMlQ5PeakjabUaYM,2,2,1
336,mta metro north employe struck kill east harlem,dEMAAHOiiULKoTMlQ5PeakjabUaYM,2,2,1
337,metro north worker kill work track nyc,dEMAAHOiiULKoTMlQ5PeakjabUaYM,2,2,1
338,metro north worker struck kill train nyc passeng resum trip,dEMAAHOiiULKoTMlQ5PeakjabUaYM,2,2,1
339,new york metro north worker struck kill train,dEMAAHOiiULKoTMlQ5PeakjabUaYM,2,2,1
340,track worker kill metro north train mta say,dEMAAHOiiULKoTMlQ5PeakjabUaYM,2,2,1
341,metro north employe struck kill train work track,dEMAAHOiiULKoTMlQ5PeakjabUaYM,2,2,1
342,metro north employe kill train manhattan,dEMAAHOiiULKoTMlQ5PeakjabUaYM,2,2,1
343,metro north worker struck kill train east harlem mta,dEMAAHOiiULKoTMlQ5PeakjabUaYM,2,2,1
344,question bill ackman herbalif profit motiv,dsxeQTqHzsYQzrM7usRl_Shtda-iM,7,7,1
345,persh squar feb,dsxeQTqHzsYQzrM7usRl_Shtda-iM,7,7,1
346,democrat donor william ackman conspir destroy herbalif win billion,dsxeQTqHzsYQzrM7usRl_Shtda-iM,7,7,1
347,press releas persh squar issu statement,dsxeQTqHzsYQzrM7usRl_Shtda-iM,7,7,1
348,ackman bet billion herbalif,dsxeQTqHzsYQzrM7usRl_Shtda-iM,7,7,1
349,herbalif hlf today,dsxeQTqHzsYQzrM7usRl_Shtda-iM,7,7,1
350,herbalif hlf say merit ackman accus,dsxeQTqHzsYQzrM7usRl_Shtda-iM,7,7,1
351,herbalif comment new york time report expos persh squar,dsxeQTqHzsYQzrM7usRl_Shtda-iM,7,7,1
352,reveal bill ackman lobbi bring compani,dsxeQTqHzsYQzrM7usRl_Shtda-iM,7,7,1
353,ackman herbalif,dsxeQTqHzsYQzrM7usRl_Shtda-iM,7,7,1
354,ackman anti herbalif lobbi detail,dsxeQTqHzsYQzrM7usRl_Shtda-iM,7,7,1
355,herbalif ltd hlf news herbalif need know fact come,dsxeQTqHzsYQzrM7usRl_Shtda-iM,7,7,1
356,persh squar present inform highlight herbalif illeg busi,dsxeQTqHzsYQzrM7usRl_Shtda-iM,7,7,1
357,ackman outspent herbalif lobbi battl,dsxeQTqHzsYQzrM7usRl_Shtda-iM,7,7,1
358,hedg fund engag herbalif multibillion dollar feud,dsxeQTqHzsYQzrM7usRl_Shtda-iM,7,7,1
359,herbalif ltd hlf spent lobbi bill ackman,dsxeQTqHzsYQzrM7usRl_Shtda-iM,7,7,1
360,weil financ bill ackman keep hope aliv,dsxeQTqHzsYQzrM7usRl_Shtda-iM,7,7,1
361,without trace,dsxeQTqHzsYQzrM7usRl_Shtda-iM,21,7,0
362,herbalif lobbi tab near million,dsxeQTqHzsYQzrM7usRl_Shtda-iM,7,7,1
363,gap fall fashion abercrombi pick pace,dsxeQTqHzsYQzrM7usRl_Shtda-iM,14,7,0
364,ackman dwarf herbalif spend lobbi battl,dsxeQTqHzsYQzrM7usRl_Shtda-iM,7,7,1
365,american airlin jetblu end partnership agreement,dqGernbFbzJ9-vM23ku_IW3-I2IPM,5,15,0
366,top four us carrier saw flight ground storm,dqGernbFbzJ9-vM23ku_IW3-I2IPM,5,15,0
367,american airlin jetblu end agreement,dqGernbFbzJ9-vM23ku_IW3-I2IPM,5,15,0
368,break connect american airlin jetblu sever agreement,dqGernbFbzJ9-vM23ku_IW3-I2IPM,5,15,0
369,american jetblu end interlin agreement,dqGernbFbzJ9-vM23ku_IW3-I2IPM,5,15,0
370,american airlin jetblu end interlin sale agreement reciproc,dqGernbFbzJ9-vM23ku_IW3-I2IPM,5,15,0
371,american airlin say storm caus feb flight cancel,dqGernbFbzJ9-vM23ku_IW3-I2IPM,5,15,0
372,american airlin jetblu end agreement allow connect,dqGernbFbzJ9-vM23ku_IW3-I2IPM,5,15,0
373,jetblu add nonstop servic washington dc,dqGernbFbzJ9-vM23ku_IW3-I2IPM,13,15,0
374,american airlin jetblu end interlin pact,dqGernbFbzJ9-vM23ku_IW3-I2IPM,5,15,0
375,american jetblu end interlin frequent travel program,dqGernbFbzJ9-vM23ku_IW3-I2IPM,5,15,0
376,delta expect first quarter profit despit hit winter storm,dqGernbFbzJ9-vM23ku_IW3-I2IPM,5,15,0
377,american airlin jetblu end ticket partnership,dqGernbFbzJ9-vM23ku_IW3-I2IPM,5,15,0
378,american airlin jetblu end agreement itinerari chang,dqGernbFbzJ9-vM23ku_IW3-I2IPM,5,15,0
379,american airlin cut tie jetblu,dqGernbFbzJ9-vM23ku_IW3-I2IPM,5,15,0
380,major u airlin tote effect winter storm,dqGernbFbzJ9-vM23ku_IW3-I2IPM,5,15,0
381,american drop februari flight due storm,dqGernbFbzJ9-vM23ku_IW3-I2IPM,5,15,0
382,american drop feb flight due storm,dqGernbFbzJ9-vM23ku_IW3-I2IPM,5,15,0
383,american airlin jetblu le divorc,dqGernbFbzJ9-vM23ku_IW3-I2IPM,5,15,0
384,bad weather prompt american cancel flight februari,dqGernbFbzJ9-vM23ku_IW3-I2IPM,5,15,0
385,jetblu airway corp receiv averag rate hold analyst,dqGernbFbzJ9-vM23ku_IW3-I2IPM,5,15,0
386,aa jetblu end ticket agreement,dqGernbFbzJ9-vM23ku_IW3-I2IPM,5,15,0
387,updat american airlin end ticket agreement jetblu,dqGernbFbzJ9-vM23ku_IW3-I2IPM,5,15,0
388,american airlin jetblu end itinerari extens agreement,dqGernbFbzJ9-vM23ku_IW3-I2IPM,5,15,0
389,american airlin end ticket agreement jetblu,dqGernbFbzJ9-vM23ku_IW3-I2IPM,5,15,0
390,american airlin jetblu end interlin agreement,dqGernbFbzJ9-vM23ku_IW3-I2IPM,5,15,0
391,jetblu airplan gate john f kennedi airport new york nov,dqGernbFbzJ9-vM23ku_IW3-I2IPM,5,15,0
392,american airlin jetblu end reciproc frequent flier deal,dqGernbFbzJ9-vM23ku_IW3-I2IPM,5,15,0
393,jetblu american airlin go differ way,dqGernbFbzJ9-vM23ku_IW3-I2IPM,5,15,0
394,american airlin jetblu airway discontinu partnership,dqGernbFbzJ9-vM23ku_IW3-I2IPM,5,15,0
395,american airlin aal load factor fell point feb affirm q prasm,dqGernbFbzJ9-vM23ku_IW3-I2IPM,5,15,0
396,american airlin jetblu airway termin partnership quick fact,dqGernbFbzJ9-vM23ku_IW3-I2IPM,5,15,0
397,american board public transit boom number,dccIdMgK1mPz2OMPNMfHccPwCkkaM,5,5,1
398,transit ridership reach highest level sinc,dccIdMgK1mPz2OMPNMfHccPwCkkaM,5,5,1
399,transit ridership drop portland despit rise u,dccIdMgK1mPz2OMPNMfHccPwCkkaM,5,5,1
400,public transit ridership nation,dccIdMgK1mPz2OMPNMfHccPwCkkaM,5,5,1
401,nation mass transit use trimet,dccIdMgK1mPz2OMPNMfHccPwCkkaM,5,5,1
402,public transit system ky see ridership loss,dccIdMgK1mPz2OMPNMfHccPwCkkaM,5,5,1
403,public transport reach highest level sinc,dccIdMgK1mPz2OMPNMfHccPwCkkaM,5,5,1
404,public transit ridership mostli tenn,dccIdMgK1mPz2OMPNMfHccPwCkkaM,5,5,1
405,american ride public transit record number ridership portland,dccIdMgK1mPz2OMPNMfHccPwCkkaM,5,5,1
406,spit trimet driver face assault union want hostil rider taken,dccIdMgK1mPz2OMPNMfHccPwCkkaM,10,5,0
407,transit ridership back track,dccIdMgK1mPz2OMPNMfHccPwCkkaM,5,5,1
408,mass transit use nation trimet ridership,dccIdMgK1mPz2OMPNMfHccPwCkkaM,5,5,1
409,american use public transit hit highest point year,dccIdMgK1mPz2OMPNMfHccPwCkkaM,5,5,1
410,colorado transit ride record rider growth,dccIdMgK1mPz2OMPNMfHccPwCkkaM,5,5,1
411,public transit boom,dccIdMgK1mPz2OMPNMfHccPwCkkaM,5,5,1
412,american use public transport ever,dccIdMgK1mPz2OMPNMfHccPwCkkaM,5,5,1
413,metro presid lobbi increas feder fund public transit,dccIdMgK1mPz2OMPNMfHccPwCkkaM,5,5,1
414,data american ride public transit record number,dccIdMgK1mPz2OMPNMfHccPwCkkaM,5,5,1
415,record number public transport trip taken,dccIdMgK1mPz2OMPNMfHccPwCkkaM,5,5,1
416,public transport use highest sinc,dccIdMgK1mPz2OMPNMfHccPwCkkaM,5,5,1
417,american hop aboard public transit highest level sinc,dccIdMgK1mPz2OMPNMfHccPwCkkaM,5,5,1
418,apta tout public transit ridership,dccIdMgK1mPz2OMPNMfHccPwCkkaM,5,5,1
419,get bu gu us post record public transit use,dccIdMgK1mPz2OMPNMfHccPwCkkaM,5,5,1
420,american transit ridership hit year high,dccIdMgK1mPz2OMPNMfHccPwCkkaM,5,5,1
421,record number public transit,dccIdMgK1mPz2OMPNMfHccPwCkkaM,5,5,1
422,public transit use reach record high,dccIdMgK1mPz2OMPNMfHccPwCkkaM,5,5,1
423,transit debat continu new report suggest high demand,dccIdMgK1mPz2OMPNMfHccPwCkkaM,4,5,0
424,us american airlin got land right,dccIdMgK1mPz2OMPNMfHccPwCkkaM,5,5,1
425,american ride public buse train subway record number,dccIdMgK1mPz2OMPNMfHccPwCkkaM,5,5,1
426,us post record mass transit use,dccIdMgK1mPz2OMPNMfHccPwCkkaM,5,5,1
427,pollen bird chirp check check way tell spring,dccIdMgK1mPz2OMPNMfHccPwCkkaM,13,5,0
428,public transport highest level sinc,dccIdMgK1mPz2OMPNMfHccPwCkkaM,5,5,1
429,american ride public transit record number interact,dccIdMgK1mPz2OMPNMfHccPwCkkaM,5,5,1
430,american use public transit record number highest ridership sinc,dccIdMgK1mPz2OMPNMfHccPwCkkaM,5,5,1
431,american ride public transit highest level sinc,dccIdMgK1mPz2OMPNMfHccPwCkkaM,5,5,1
432,nearli billion trip public transit mark america highest total,dccIdMgK1mPz2OMPNMfHccPwCkkaM,5,5,1
433,american ride public transport record number,dccIdMgK1mPz2OMPNMfHccPwCkkaM,5,5,1
434,american take public transit record number,dccIdMgK1mPz2OMPNMfHccPwCkkaM,5,5,1
435,metro see increas bu decreas rail ridership,dccIdMgK1mPz2OMPNMfHccPwCkkaM,5,5,1
436,wheel bu go around often,dccIdMgK1mPz2OMPNMfHccPwCkkaM,13,5,0
437,peopl rode public transit last year time last year,dccIdMgK1mPz2OMPNMfHccPwCkkaM,13,5,0
438,report american ride public transit record number,dccIdMgK1mPz2OMPNMfHccPwCkkaM,5,5,1
439,public transit u mani american ride,dccIdMgK1mPz2OMPNMfHccPwCkkaM,5,5,1
440,billion trip taken transit america last year sinc,dccIdMgK1mPz2OMPNMfHccPwCkkaM,5,5,1
441,us public transit ridership highest level sinc,dccIdMgK1mPz2OMPNMfHccPwCkkaM,5,5,1
442,american said ride public transit record number,dccIdMgK1mPz2OMPNMfHccPwCkkaM,5,5,1
443,american ride public transit,dccIdMgK1mPz2OMPNMfHccPwCkkaM,5,5,1
444,american hop aboard public transit record number ridership recov,dccIdMgK1mPz2OMPNMfHccPwCkkaM,5,5,1
445,public transit use highest level sinc,dccIdMgK1mPz2OMPNMfHccPwCkkaM,5,5,1
446,public transit use u year high report find,dccIdMgK1mPz2OMPNMfHccPwCkkaM,5,5,1
447,american use public transit record number,dccIdMgK1mPz2OMPNMfHccPwCkkaM,5,5,1
448,american make journey public transport year,dccIdMgK1mPz2OMPNMfHccPwCkkaM,5,5,1
449,list public transit system big ridership gain,dccIdMgK1mPz2OMPNMfHccPwCkkaM,5,5,1
450,stock slip discourag news asia,dJbOm1zHMJJGWuMjXPV4nRnytnmrM,13,4,0
451,could flight mh rescu bring china japan closer togeth,dJbOm1zHMJJGWuMjXPV4nRnytnmrM,12,4,0
452,stock discourag news asia,dJbOm1zHMJJGWuMjXPV4nRnytnmrM,13,4,0
453,crude drop soft chines trade figur,dJbOm1zHMJJGWuMjXPV4nRnytnmrM,13,4,0
454,us stock market trade lower investor weigh discourag news,dJbOm1zHMJJGWuMjXPV4nRnytnmrM,13,4,0
455,updat oil sink weak china data heat season end,dJbOm1zHMJJGWuMjXPV4nRnytnmrM,13,4,0
456,stock open lower discourag news asia,dJbOm1zHMJJGWuMjXPV4nRnytnmrM,13,4,0
457,us oil plaster weak chines export data end near,dJbOm1zHMJJGWuMjXPV4nRnytnmrM,13,4,0
458,us stock gloomi news asia,dJbOm1zHMJJGWuMjXPV4nRnytnmrM,13,4,0
459,stock slide discourag news asia,dJbOm1zHMJJGWuMjXPV4nRnytnmrM,13,4,0
460,amid concern weak chines japanes econom data market stutter,dJbOm1zHMJJGWuMjXPV4nRnytnmrM,13,4,0
461,wti crude fall sharpli china trade data weigh,dJbOm1zHMJJGWuMjXPV4nRnytnmrM,13,4,0
462,stock move lower discourag news asia,dJbOm1zHMJJGWuMjXPV4nRnytnmrM,13,4,0
463,oil fall around china japan data,dJbOm1zHMJJGWuMjXPV4nRnytnmrM,13,4,0
464,market kept check asian develop,dJbOm1zHMJJGWuMjXPV4nRnytnmrM,13,4,0
465,asian share slip weak china japan data,dJbOm1zHMJJGWuMjXPV4nRnytnmrM,13,4,0
466,brent slide toward chines export,dJbOm1zHMJJGWuMjXPV4nRnytnmrM,13,4,0
467,oil keep bite bear,dJbOm1zHMJJGWuMjXPV4nRnytnmrM,4,4,1
468,us stock market slip midday trade discourag news chines,dJbOm1zHMJJGWuMjXPV4nRnytnmrM,13,4,0
469,oil sink weak chines data end heat season,dJbOm1zHMJJGWuMjXPV4nRnytnmrM,13,4,0
470,us stock move lower gloomi news asia,dJbOm1zHMJJGWuMjXPV4nRnytnmrM,13,4,0
471,china export plung commod worri,dJbOm1zHMJJGWuMjXPV4nRnytnmrM,13,4,0
472,weak data japan china pressur crude oil,dJbOm1zHMJJGWuMjXPV4nRnytnmrM,13,4,0
473,stock slip disappoint asia news,dJbOm1zHMJJGWuMjXPV4nRnytnmrM,13,4,0
474,stock fall discourag news asia,dJbOm1zHMJJGWuMjXPV4nRnytnmrM,13,4,0
475,wall street digest weak china japan data,dJbOm1zHMJJGWuMjXPV4nRnytnmrM,13,4,0
476,crude oil futur slump underwhelm chines export data,dJbOm1zHMJJGWuMjXPV4nRnytnmrM,13,4,0
477,stock open lower gloomi news asia,dJbOm1zHMJJGWuMjXPV4nRnytnmrM,13,4,0
478,sbarro file ch reorgan,dJbOm1zHMJJGWuMjXPV4nRnytnmrM,17,4,0
